upisani,rsns,rostali,rnisuglasali,age1849,age50plus,eduprim,edumiddle,eduhigher,compillit,complit,workemployed,workretired,workother,ethnicserbs,ethnicminother,lsns,lostali,lnisuglasali
99893,37154,17538,45201,49771,50122,28290,56078,15522,63786,36107,41231,27042,31621,96038,3855,31236,23264,45393
12860,7128,2584,3148,6062,6798,5527,6032,1301,9760,3100,5617,3731,3511,12594,266,6268,3410,3182
7973,4598,1381,1994,3682,4291,3651,3659,664,6188,1785,2910,2300,2764,7633,340,3246,2713,2014
9755,2725,2573,4457,4705,5050,4585,4417,753,7315,2440,4037,2932,2786,3798,5957,2383,2917,4455
1467,949,61,457,473,994,882,491,95,1313,154,617,472,378,1448,19,982,0,485
170723,53787,32303,84633,93089,77634,23546,96528,50649,80926,89797,74546,48048,48129,156618,14105,53640,31519,85564
30077,12538,3059,14480,13921,16156,12531,13899,3647,21327,8750,9308,9609,11161,27745,2332,11568,3784,14725
23565,9654,3071,10840,10248,13317,13888,8145,1532,18702,4863,7463,8656,7446,21951,1614,8881,3798,10886
8763,4770,1581,2412,3910,4853,3868,3622,1273,6276,2487,2729,3232,2803,2441,6322,3882,2416,2465
14948,9817,1176,3955,7392,7556,6831,7346,771,12361,2587,3959,4169,6820,13770,1178,9003,1920,4025
7140,4461,814,1865,2367,4773,4250,2583,307,6428,712,2070,2919,2151,6785,355,4537,724,1879
8709,3981,993,3735,3679,5030,5231,2940,538,6829,1880,2817,2944,2949,7919,790,3157,1715,3837
37560,17149,4984,15427,18091,19469,14419,18743,4399,25621,11939,17466,10666,9428,36754,806,16981,4946,15633
68504,26744,8560,33200,37240,31264,18560,41521,8423,46144,22360,28690,17181,22633,64480,4024,26204,10398,31902
41926,19664,5644,16618,21571,20355,11958,25204,4765,28323,13603,15691,10750,15485,36126,5800,15688,9598,16640
9511,3905,1714,3892,4478,5033,3958,4777,776,7085,2426,3900,2551,3060,7470,2041,3147,2466,3898
26736,12340,3087,11309,13144,13592,12888,11683,2165,20697,6039,11148,7004,8585,26354,382,9901,5359,11476
65706,28589,6907,30210,32455,33251,23173,33424,9109,45224,20482,24674,17715,23316,63005,2701,29470,5248,30988
22704,2688,7489,12527,11546,11158,10682,10043,1979,16127,6577,9392,6082,7230,1639,21065,1729,8484,12491
51275,21395,8778,21102,25902,25373,18170,26630,6475,34370,16905,18818,15329,17128,38677,12598,20840,9369,21066
22895,9626,2142,11127,9591,13304,12094,8532,2270,17022,5873,7700,8118,7077,19608,3287,10375,1260,11260
11446,5543,1720,4183,4876,6570,5627,5157,662,9403,2043,4343,3699,3404,11321,125,4845,2436,4165
26341,11675,3074,11592,10327,16014,12517,11149,2676,20940,5401,11879,7700,6762,24786,1555,7718,7085,11538
11659,7328,725,3606,5555,6104,6780,4285,595,9588,2071,5630,2660,3369,10751,908,7636,367,3656
22304,6825,4851,10628,11228,11076,11200,9430,1674,16945,5359,7793,4967,9544,7419,14885,6143,5544,10617
159090,60704,28369,70017,82385,76705,39879,90049,29161,96719,62371,60034,42358,56698,152560,6530,44494,43294,71302
107653,41905,16273,49475,54299,53354,35729,55860,16064,70717,36936,40223,29938,37492,103174,4479,32919,23216,51518
14281,7710,1115,5456,7017,7264,7612,5816,853,12032,2249,5642,3568,5071,13731,550,8071,671,5539
112879,46733,14490,51656,55667,57212,40076,55192,17611,76195,36684,38180,32323,42376,107423,5456,43649,15904,53326
17219,8114,1586,7519,6711,10508,10344,5904,970,14139,3080,4507,6549,6163,11439,5780,4994,4538,7687
36650,14887,5890,15873,18598,18052,11403,21450,3797,24146,12504,12426,10953,13271,21460,15190,14325,6349,15976
16074,8241,2197,5636,7773,8301,6908,7524,1643,12098,3976,4743,4850,6481,15501,573,6848,3228,5998
12176,6147,2562,3467,6202,5974,4970,6257,949,9172,3004,6386,2536,3254,11315,861,6246,2449,3481
7131,3527,945,2659,3465,3666,2650,3891,590,5222,1909,2233,2126,2772,6927,204,3390,966,2775
52528,23681,10712,18135,28243,24285,15903,30665,5960,34215,18313,22958,13616,15954,50167,2361,17331,16726,18471
18496,10910,1859,5727,9240,9256,8598,8368,1530,15163,3333,6543,4567,7386,17149,1347,8258,4468,5770
121581,62279,16946,42356,62276,59305,42925,62960,15696,89586,31995,39412,32045,50124,112658,8923,61787,16690,43104
9737,4768,1529,3440,4375,5362,4865,4153,718,7823,1914,5408,2449,1880,9272,465,3627,2673,3437
12348,7286,1362,3700,6089,6259,6137,5308,903,10133,2215,6151,2775,3422,12040,308,5875,2755,3718
74370,30802,7325,36243,37944,36426,24454,41701,8215,54634,19736,23109,18717,32544,70019,4351,26527,11170,36673
10614,3409,2334,4871,5446,5168,4201,5489,924,7477,3137,3477,2940,4196,2107,8507,3571,2153,4890
13187,6391,1379,5417,6767,6420,4766,7048,1374,9429,3758,4362,3027,5798,12336,851,4933,2820,5434
12600,4677,1483,6440,5513,7087,9228,2968,404,10887,1713,4690,3983,3927,11111,1489,4297,1821,6482
10990,7382,1311,2297,5106,5884,5875,4620,496,9503,1487,3393,3459,4137,10302,688,4669,3956,2365
48181,19484,6238,22459,24321,23860,15698,26456,6027,32106,16075,17581,13700,16899,45582,2599,15199,10056,22926
31212,13032,3418,14762,16011,15201,10546,17283,3383,22260,8952,9443,8032,13738,27781,3431,11617,4447,15148
78643,24955,17276,36412,40712,37931,9244,41138,28261,37086,41557,31132,22984,24527,74639,4004,10011,11624,57008
12671,6028,1521,5122,6255,6416,3979,7266,1426,9073,3598,4116,3765,4790,11851,820,4152,3282,5237
